Dissemination Identifier,Original Dissemination Identifier,Action type,Event type,Event timestamp,Amendment indicator,Asset Class,Product name,Cleared,Mandatory clearing indicator,Execution Timestamp,Effective Date,Expiration Date,Maturity date of the underlier,Non-standardized term indicator,Platform identifier,Prime brokerage transaction indicator,Block trade election indicator,Large notional off-facility swap election indicator,Notional amount-Leg 1,Notional amount-Leg 2,Notional currency-Leg 1,Notional currency-Leg 2,Notional quantity-Leg 1,Notional quantity-Leg 2,Total notional quantity-Leg 1,Total notional quantity-Leg 2,Quantity frequency multiplier-Leg 1,Quantity frequency multiplier-Leg 2,Quantity unit of measure-Leg 1,Quantity unit of measure-Leg 2,Quantity frequency-Leg 1,Quantity frequency-Leg 2,Notional amount in effect on associated effective date-Leg 1,Notional amount in effect on associated effective date-Leg 2,Effective date of the notional amount-Leg 1,Effective date of the notional amount-Leg 2,End date of the notional amount-Leg 1,End date of the notional amount-Leg 2,Call amount,Call currency,Put amount,Put currency,Exchange rate,Exchange rate basis,First exercise date,Fixed rate-Leg 1,Fixed rate-Leg 2,Option Premium Amount,Option Premium Currency,Price,Price unit of measure,Spread-Leg 1,Spread-Leg 2,Spread currency-Leg 1,Spread currency-Leg 2,Strike Price,Strike price currency/currency pair,Post-priced swap indicator,Price currency,Price notation,Spread notation-Leg 1,Spread notation-Leg 2,Strike price notation,Fixed rate day count convention-leg 1,Fixed rate day count convention-leg 2,Floating rate day count convention-leg 1,Floating rate day count convention-leg 2,Floating rate reset frequency period-leg 1,Floating rate reset frequency period-leg 2,Floating rate reset frequency period multiplier-leg 1,Floating rate reset frequency period multiplier-leg 2,Other payment amount,Fixed rate payment frequency period-Leg 1,Floating rate payment frequency period-Leg 1,Fixed rate payment frequency period-Leg 2,Floating rate payment frequency period-Leg 2,Fixed rate payment frequency period multiplier-Leg 1,Floating rate payment frequency period multiplier-Leg 1,Fixed rate payment frequency period multiplier-Leg 2,Floating rate payment frequency period multiplier-Leg 2,Other payment type,Other payment currency,Settlement currency-Leg 1,Settlement currency-Leg 2,Settlement location,Collateralisation category,Custom basket indicator,Index factor,Underlier ID-Leg 1,Underlier ID-Leg 2,Underlier ID source-Leg 1,Underlying Asset Name,Underlying asset subtype or underlying contract subtype-Leg 1,Underlying asset subtype or underlying contract subtype-Leg 2,Embedded Option type,Option Type,Option Style,Package indicator,Package transaction price,Package transaction price currency,Package transaction price notation,Package transaction spread,Package transaction spread currency,Package transaction spread notation,Physical delivery location-Leg 1,Delivery Type,Unique Product Identifier,UPI FISN,UPI Underlier Name
"1502050819","1502050791","TERM","ETRM","2025-05-05T08:53:26Z","","EQ","","N","","2025-05-05T08:49:43Z","2025-05-06","2026-11-18","","FALSE","BILT","","","","5","","EUR","","","","5","","","","SHAS","","","","","","","","","","","","","","","","","","","","","10.848","ACCY","0","","","","","","false","EUR","1","3","","","","","A004","","MNTH","","1","","","","MNTH","","","","1","","","","","EUR","","","","false","","QRF.BR","","RIC","","","","OPET","","","false","","","","","","","","","QZDTXTPP30LR","NA/Swaps Sgle Stk Tot Rtn","Shs"
"1502050820","1499928316","TERM","ETRM","2025-05-05T08:53:33Z","","EQ","","N","","2025-05-02T16:52:27Z","2025-05-06","2026-11-18","","FALSE","BILT","","","","5","","EUR","","","","5","","","","SHAS","","","","","","","","","","","","","","","","","","","","","23.7992","ACCY","0","","","","","","false","EUR","1","3","","","","","A004","","MNTH","","1","","","","MNTH","","","","1","","","","","EUR","","","","false","","VOES.VI","","RIC","","","","OPET","","","false","","","","","","","","","QZ6DV4SKJKVW","NA/Swaps Sgle Stk Tot Rtn","VOESTALPINE AG AKTIEN OHNE NENNWERT"
"1502050821","1499929671","TERM","ETRM","2025-05-05T08:53:14Z","","EQ","","N","","2025-05-02T16:47:22Z","2025-05-06","2026-11-18","","FALSE","BILT","","","","5","","EUR","","","","5","","","","SHAS","","","","","","","","","","","","","","","","","","","","","52.23","ACCY","0","","","","","","false","EUR","1","3","","","","","A004","","MNTH","","1","","","","MNTH","","","","1","","","","","EUR","","","","false","","VLAN.AS","","RIC","","","","OPET","","","false","","","","","","","","","QZLDK7CRNZPT","NA/Swaps Sgle Stk Tot Rtn","VAN LANSCHOT"
"1502050822","1499942757","TERM","ETRM","2025-05-05T08:52:14Z","","EQ","","N","","2025-05-02T16:49:57Z","2025-05-06","2026-11-18","","FALSE","BILT","","","","5","","EUR","","","","5","","","","SHAS","","","","","","","","","","","","","","","","","","","","","67.17869","ACCY","0","","","","","","false","EUR","1","3","","","","","A004","","MNTH","","1","","","","MNTH","","","","1","","","","","EUR","","","","false","","AKE.PA","","RIC","","","","OPET","","","false","","","","","","","","","QZW0HZ8Z7WZ1","NA/Swaps Sgle Stk Tot Rtn","ORD."
"1502050823","1499954739","TERM","ETRM","2025-05-05T08:53:09Z","","EQ","","N","","2025-05-02T16:55:03Z","2025-05-06","2026-11-18","","FALSE","BILT","","","","5","","EUR","","","","5","","","","SHAS","","","","","","","","","","","","","","","","","","","","","10.65","ACCY","0","","","","","","false","EUR","1","3","","","","","A004","","MNTH","","1","","","","MNTH","","","","1","","","","","EUR","","","","false","","PRIM.MC","","RIC","","","","OPET","","","false","","","","","","","","","QZ32HW4BGWN9","NA/Swaps Sgle Stk Tot Rtn","PRIM, S.A., ACCIONES POR DESDOBLAMIENTO"
"1502050824","1499919463","MODI","TRAD","2025-05-05T08:52:22Z","true","EQ","","N","","2025-05-02T16:40:45Z","2025-05-06","2026-11-18","","FALSE","BILT","","","","13,000,000","","EUR","","","","9,300","","","","SHAS","","","","","","","","","","","","","","","","","","","","","1,411.844664","ACCY","0.003","","","","","","false","EUR","1","3","","","","","A004","","MNTH","","1","","","","MNTH","","","","1","","","","","EUR","","","","false","","ADYEN.AS","","RIC","","","","OPET","","","false","","","","","","","","","QZ3G9KJM6QHW","NA/Swaps Sgle Stk Tot Rtn","Adyen N.V. Ordinary Sh"
"1502050825","1499999501","TERM","ETRM","2025-05-05T08:53:14Z","","EQ","","N","","2025-05-02T18:48:10Z","2025-05-06","2026-11-18","","FALSE","BILT","","","","5","","EUR","","","","5","","","","SHAS","","","","","","","","","","","","","","","","","","","","","9.52","ACCY","0","","","","","","false","EUR","1","3","","","","","A004","","MNTH","","1","","","","MNTH","","","","1","","","","","EUR","","","","false","","STEAV.HE","","RIC","","","","OPET","","","false","","","","","","","","","QZH3CNZCH50N","NA/Swaps Sgle Stk Tot Rtn","STORA ENSO OYJ A"
"1502050826","","NEWT","TRAD","2025-05-05T08:53:26Z","","EQ","","N","","2025-05-05T08:49:43Z","2025-05-06","2026-11-18","","FALSE","BILT","","","","295","","EUR","","","","10","","","","SHAS","","","","","","","","","","","","","","","","","","","","","29.4998576616","ACCY","-0.0005","","","","","","false","EUR","1","3","","","","","A004","","MNTH","","1","","","","MNTH","","","","1","","","","","EUR","","","","false","","SHEL.AS","","RIC","","","","OPET","","","false","","","","","","","","","QZ9PNQ3VJKVC","NA/Swaps Sgle Stk Tot Rtn","ORD EUR0.07"
"1502050827","","NEWT","TRAD","2025-05-05T08:52:14Z","","EQ","","N","","2025-05-05T08:49:10Z","2025-05-06","2026-11-18","","FALSE","BILT","","","","15,000","","EUR","","","","915","","","","SHAS","","","","","","","","","","","","","","","","","","","","","16.39344","ACCY","0.003","","","","","","false","EUR","1","3","","","","","A004","","MNTH","","1","","","","MNTH","","","","1","","","","","EUR","","","","false","","BKHTn.DE","","RIC","","","","OPET","","","false","","","","","","","","","QZ3Q8N1QW6HP","NA/Swaps Sgle Stk Tot Rtn","Brockhaus Technologies AGNamens-Aktien o.N."
"1502050828","1499942881","MODI","TRAD","2025-05-05T08:53:09Z","true","EQ","","N","","2025-05-02T16:50:42Z","2025-05-06","2026-11-18","","FALSE","BILT","","","","4,600","","EUR","","","","10","","","","SHAS","","","","","","","","","","","","","","","","","","","","","425.0165285","ACCY","0.003","","","","","","false","EUR","1","3","","","","","A004","","MNTH","","1","","","","MNTH","","","","1","","","","","EUR","","","","false","","LMT.DE","","RIC","","","","OPET","","","false","","","","","","","","","QZD4R3DKKD5X","NA/Swaps Sgle Stk Tot Rtn","No name obtainable"
